architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	dominant_adversarial	source_equal	0.2	5	0.3	full_route_recovered	275	400	0.6875	0.6395604581304275	0.7326388132171728	0.03675220017651032	0.0374048607528875
full	0.35	dominant_adversarial	source_equal	0.2	15	0.0	full_route_recovered	392	400	0.98	0.9609737232883799	0.9913268296308817	0.13848532593585788	0.14092859906870492
full	0.35	dominant_adversarial	source_equal	0.2	15	0.15	full_route_recovered	390	400	0.975	0.95450572070122	0.9879478798868141	0.08216423234482964	0.08142825163383591
full	0.35	dominant_adversarial	source_equal	0.2	15	0.3	full_route_recovered	340	400	0.85	0.8111778635180942	0.8835415213926012	0.04043597023412846	0.039884074750933404
full	0.35	dominant_adversarial	source_equal	0.5	1	0.0	full_route_recovered	385	400	0.9625	0.9389030233760993	0.9788623252156511	0.13781069676965368	0.1385199677263817
full	0.35	dominant_adversarial	source_equal	0.5	1	0.15	full_route_recovered	278	400	0.695	0.6473064080776556	0.7397801670150255	0.07165765719203715	0.07355334075895459
full	0.35	dominant_adversarial	source_equal	0.5	1	0.3	full_route_recovered	73	400	0.1825	0.14586703379617733	0.22390761249981145	0.02012109109598191	0.021675602705599997
full	0.35	dominant_adversarial	source_equal	0.5	5	0.0	full_route_recovered	375	400	0.9375	0.9091176304486912	0.9591485429904449	0.1368253795127522	0.13540407138708155
full	0.35	dominant_adversarial	source_equal	0.5	5	0.15	full_route_recovered	329	400	0.8225	0.7814588701331288	0.8586891714755409	0.0786964538947311	0.07871855651489279
full	0.35	dominant_adversarial	source_equal	0.5	5	0.3	full_route_recovered	218	400	0.545	0.4947701980010376	0.5945592092797509	0.03425049359506546	0.03365885103847245
full	0.35	dominant_adversarial	source_equal	0.5	15	0.0	full_route_recovered	384	400	0.96	0.9358539890609492	0.9769666042594511	0.13517849703199705	0.13655719592954918
full	0.35	dominant_adversarial	source_equal	0.5	15	0.15	full_route_recovered	365	400	0.9125	0.8804098566696346	0.9382964542367502	0.08011542955679474	0.08031444199629889
full	0.35	dominant_adversarial	source_equal	0.5	15	0.3	full_route_recovered	296	400	0.74	0.6940867977843044	0.7823213717934455	0.03919291345151483	0.039362749092427804
full	0.35	dominant_adversarial	source_equal	0.85	1	0.0	full_route_recovered	204	400	0.51	0.45984312616385775	0.5600078715103507	0.11422128727814368	0.11678584612139425
full	0.35	dominant_adversarial	source_equal	0.85	1	0.15	full_route_recovered	72	400	0.18	0.1435875835189853	0.2212256980959571	0.03554645159004133	0.03669159186316235
full	0.35	dominant_adversarial	source_equal	0.85	1	0.3	full_route_recovered	25	400	0.0625	0.040851457009555066	0.0908823695513088	-0.01889377952250089	-0.012533565515848898
full	0.35	dominant_adversarial	source_equal	0.85	5	0.0	full_route_recovered	201	400	0.5025	0.4523898712281144	0.5525728784116524	0.11297071758960453	0.11582468919536845
full	0.35	dominant_adversarial	source_equal	0.85	5	0.15	full_route_recovered	139	400	0.3475	0.30086574441064584	0.3964101227353924	0.0588339375521595	0.0629688044763924
full	0.35	dominant_adversarial	source_equal	0.85	5	0.3	full_route_recovered	75	400	0.1875	0.15043384881331712	0.22926364569946	0.017586559319195817	0.01611785565229425
full	0.35	dominant_adversarial	source_equal	0.85	15	0.0	full_route_recovered	217	400	0.5425	0.49226744496904884	0.5920992263353846	0.11190475552608868	0.11611144067730039
full	0.35	dominant_adversarial	source_equal	0.85	15	0.15	full_route_recovered	169	400	0.4225	0.3735739616694795	0.4725812462201547	0.06671276711063158	0.06811968939328539
full	0.35	dominant_adversarial	source_equal	0.85	15	0.3	full_route_recovered	110	400	0.275	0.23179825742986984	0.3215669590834049	0.0299953115653686	0.0304248546502947
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	1	0.0	full_route_recovered	396	400	0.99	0.9745951990926638	0.9972688040287571	0.1380070376183968	0.14109344480680092
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	1	0.15	full_route_recovered	312	400	0.78	0.7361566841724916	0.8196440427479089	0.0751005070684875	0.0749068362102473
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	1	0.3	full_route_recovered	126	400	0.315	0.2697447150566541	0.3630184677765685	0.026142655722227678	0.0262248228133318
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	5	0.0	full_route_recovered	392	400	0.98	0.9609737232883799	0.9913268296308817	0.13635202330467502	0.1388071314830949
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	5	0.15	full_route_recovered	367	400	0.9175	0.8860892715325912	0.9425316426372068	0.08037574015717061	0.0813734837724718
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	5	0.3	full_route_recovered	278	400	0.695	0.6473064080776556	0.7397801670150255	0.03641297453923635	0.03711716761202325
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	15	0.0	full_route_recovered	394	400	0.985	0.9676387055192249	0.9944758904954193	0.13820616243889958	0.140130754013029
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	15	0.15	full_route_recovered	391	400	0.9775	0.9577189699633272	0.9896611490413162	0.08193648959133684	0.0822914629241776
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.2	15	0.3	full_route_recovered	338	400	0.845	0.805747095458999	0.8790507223936429	0.04060027347696038	0.04081559374817505
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	1	0.0	full_route_recovered	385	400	0.9625	0.9389030233760993	0.9788623252156511	0.13781069676965368	0.1385199677263817
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	1	0.15	full_route_recovered	278	400	0.695	0.6473064080776556	0.7397801670150255	0.07165765719203715	0.07355334075895459
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	1	0.3	full_route_recovered	73	400	0.1825	0.14586703379617733	0.22390761249981145	0.02012109109598191	0.021675602705599997
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.5	5	0.0	full_route_recovered	381	400	0.9525	0.9268146345986293	0.9711630696195768	0.13734562591616659	0.14122545393517186
