removed_layer,n_units,n_sources,n_layers,prespecified_rank,prespecified_source_equal,best_alternative_source_equal,margin_vs_best_alternative
gene_composition,2300,2,4,5,0.18521087606894177,0.6011913902200101,-0.41598051415106835
gene_tree_discordance,3332,2,4,5,0.21952499360356179,0.5459248943247124,-0.32639990072115055
local_composition,2251,2,4,5,0.19360281463085202,0.5855347145066772,-0.3919318998758251
mobile_proximity,3300,2,4,5,0.13399807338054115,0.6095823967822075,-0.47558432340166634
order_distribution,3449,2,4,5,0.12979005950311268,0.643344746772904,-0.5135546872697914
