strata,iterations,observed_margin,null_mean_margin,null_q025_margin,null_q975_margin,null_min_margin,null_max_margin,null_sd_margin,null_unique_margins,null_non_degenerate,empirical_p_ge_observed
source_id,10000,-0.4357591101295483,-0.40838901682123285,-0.4266619982583246,-0.39126379200445294,-0.44244570730875243,-0.37524576476608573,0.00900840816056618,742,True,0.9978002199780022
source_id+evidence_layer,10000,-0.4357591101295483,-0.42334897238157654,-0.43960257929560903,-0.40783828005063427,-0.45845326055404434,-0.3941456363848564,0.00811592448251616,516,True,0.9351064893510649
