label_set,diagnostic,donor_class,functional_class,source_equal_probability,raw_role_space_count,raw_role_space_probability,sources_with_donor_role_rows,total_role_space_rows_for_donor,nonroute_rows_for_donor,interpretation
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,host,scaffold,0.540984,184,0.87619,5,210,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,host,energetic_incorporation,0.006557,2,0.009524,5,210,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,host,transition,0.452459,24,0.114286,5,210,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,symbiont,scaffold,0.03268,15,0.082873,3,181,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,symbiont,energetic_incorporation,0.96732,166,0.917127,3,181,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,symbiont,transition,0.0,0,0.0,3,181,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,other,scaffold,0.095238,10,0.008945,3,1118,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,other,energetic_incorporation,0.142857,15,0.013417,3,1118,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
audit_adjudicated_labels,continuous_source_equal_donor_role_probability,other,transition,0.761905,1093,0.977639,3,1118,0,Source-equal conditional probability of each functional role given donor class; support/uncertain rows are reported as nonroute rows and excluded from this role-space diagnostic.
