family	n_genome_pairs	mean_fixed	mean_mfp	mean_consensus_min	stable_both_count
soxa	242	0.173099173553719	0.1730165289256198	0.1490495867768595	36.0
soxb	299	0.1751839464882943	0.1761204013377926	0.1498327759197324	38.0
soxc	215	0.2013023255813953	0.2256279069767441	0.1812558139534883	38.0
soxx	243	0.2076954732510288	0.2011111111111111	0.1667078189300411	38.0
soxy	245	0.201265306122449	0.2072653061224489	0.1553061224489795	32.0
soxz	209	0.2388038277511961	0.2324880382775119	0.1654545454545454	34.0
