subset	taxonomic_rank	clusters	genomes	categories	observed_nmi	null_mean	null_q975	permutation_p_greater
all_clusters	gtdb_class	672	398	9	0.3666120305052507	0.0756317356856882	0.0886225962139143	9.999000099990002e-05
all_clusters	gtdb_order	672	398	32	0.5091259267228277	0.161099733399	0.17503574543238112	9.999000099990002e-05
multigene_clusters	gtdb_class	569	398	9	0.4012198300306796	0.08114322118133722	0.0959120399170705	9.999000099990002e-05
multigene_clusters	gtdb_order	569	398	32	0.5475147737614318	0.16434284276395655	0.18020567277559735	9.999000099990002e-05
near_complete_or_complete_clusters	gtdb_class	375	362	9	0.4988539875042357	0.06672129221589473	0.08495484387842463	9.999000099990002e-05
near_complete_or_complete_clusters	gtdb_order	375	362	24	0.5877752405002789	0.11766659967827661	0.13714782202372652	9.999000099990002e-05
largest_cluster_per_genome	gtdb_class	398	398	9	0.4830854583566849	0.09290178647027193	0.11237132215937419	9.999000099990002e-05
largest_cluster_per_genome	gtdb_order	398	398	32	0.6365442667129059	0.1777628418454461	0.19874699845400687	9.999000099990002e-05
