family	status	shared_tips	symmetric_difference	normalized_rf	weighted_rf	mean_order_discordance	mean_class_discordance
soxa	ok	242	314	0.6569037656903766	59.0425387802	0.1338842975206612	0.08471074380165289
soxb	ok	299	382	0.6452702702702703	40.7824880259	0.07558528428093644	0.02274247491638796
soxc	ok	215	320	0.7547169811320755	31.7557018837	0.11488372093023255	0.08279069767441861
soxx	ok	243	324	0.675	77.7608713607	0.15267489711934157	0.07530864197530865
soxy	ok	245	322	0.6652892561983471	61.5532650563	0.10448979591836735	0.04653061224489797
soxz	ok	209	300	0.7281553398058253	43.5005805012	0.12009569377990431	0.09282296650717703
